Wavelength (nm),Amplitude (AU)
1510.3579999999915,1344.33140580411
1510.3589999999915,1345.827045209662
1510.3599999999915,1347.2737556358193
1510.3609999999915,1348.6720058856858
1510.3619999999914,1350.0222647623657
1510.3629999999914,1351.3250010689628
1510.3639999999914,1352.5806836085812
1510.3649999999914,1353.7897811843254
1510.3659999999913,1354.9527625992991
1510.3669999999913,1356.0700966566067
1510.3679999999913,1357.1422521593518
1510.3689999999913,1358.1696979106391
1510.3699999999913,1359.152902713572
1510.3709999999912,1360.0923353712553
1510.3719999999912,1360.9884646867927
1510.3729999999912,1361.841759463288
1510.3739999999912,1362.652688503846
1510.3749999999911,1363.4217206115704
1510.375999999991,1364.149324589565
1510.376999999991,1364.8359692409344
1510.377999999991,1365.4821233687821
1510.378999999991,1366.088255776213
1510.379999999991,1366.6548352663306
1510.380999999991,1367.182330642239
1510.381999999991,1367.6712107070427
1510.382999999991,1368.121944263845
1510.383999999991,1368.535000115751
1510.384999999991,1368.9108470658643
1510.3859999999909,1369.2499539172886
1510.3869999999908,1369.5527894731285
1510.3879999999908,1369.819822536488
1510.3889999999908,1370.051521910471
1510.3899999999908,1370.2483563981816
1510.3909999999908,1370.4107948027242
1510.3919999999907,1370.5393059272028
1510.3929999999907,1370.634358574721
1510.3939999999907,1370.6964215483833
1510.3949999999907,1370.7259636512938
1510.3959999999906,1370.7234536865567
1510.3969999999906,1370.6893604572756
1510.3979999999906,1370.6241527665554
1510.3989999999906,1370.5282994174993
1510.3999999999905,1370.4022692132116
1510.4009999999905,1370.246530956797
1510.4019999999905,1370.061553451359
1510.4029999999905,1369.8478055000019
1510.4039999999904,1369.6057559058295
1510.4049999999904,1369.3358734719463
1510.4059999999904,1369.038627001456
1510.4069999999904,1368.714485297463
1510.4079999999904,1368.3639171630712
1510.4089999999903,1367.9873914013847
1510.4099999999903,1367.5853768155077
1510.4109999999903,1367.1583422085444
1510.4119999999903,1366.7067563835985
1510.4129999999902,1366.2310881437743
1510.4139999999902,1365.7318062921759
1510.4149999999902,1365.2093796319077
1510.4159999999902,1364.6642769660727
1510.4169999999901,1364.0969670977763
1510.4179999999901,1363.507918830122
1510.41899999999,1362.8976009662138
1510.41999999999,1362.266482309156
1510.42099999999,1361.6150316620524
1510.42199999999,1360.9437178280073
1510.42299999999,1360.253009610125
1510.42399999999,1359.5433758115093
1510.42499999999,1358.8152852352644
1510.42599999999,1358.0692066844942
1510.42699999999,1357.3056089623026
1510.4279999999899,1356.5249608717945
1510.4289999999899,1355.7277312160732
1510.4299999999898,1354.914388798243
1510.4309999999898,1354.0854024214084
1510.4319999999898,1353.2412408886726
1510.4329999999898,1352.3823730031406
1510.4339999999897,1351.5092675679161
1510.4349999999897,1350.6223933861033
1510.4359999999897,1349.722219260806
1510.4369999999897,1348.8092139951286
1510.4379999999896,1347.8838463921752
1510.4389999999896,1346.9465852550493
1510.4399999999896,1345.9978993868558
1510.4409999999896,1345.0382575906983
1510.4419999999895,1344.0681286696808
1510.4429999999895,1343.087981426908
1510.4439999999895,1342.0982846654836
1510.4449999999895,1341.0995071885113
1510.4459999999895,1340.0921177990958
1510.4469999999894,1339.0765853003409
1510.4479999999894,1338.0533784953507
1510.4489999999894,1337.0229661872295
1510.4499999999894,1335.9858171790809
1510.4509999999893,1334.9424002740093
1510.4519999999893,1333.893184275119
1510.4529999999893,1332.8386379855135
1510.4539999999893,1331.7792302082978
1510.4549999999892,1330.715429746575
1510.4559999999892,1329.6477054034494
1510.4569999999892,1328.5765259820257
1510.4579999999892,1327.5023602854076
1510.4589999999891,1326.425677116699
1510.4599999999891,1325.3469452790043
1510.460999999989,1324.2666335754275
1510.461999999989,1323.1852108090725
1510.462999999989,1322.1031457830436
1510.463999999989,1321.0209073004448
1510.464999999989,1319.9389641643804
1510.465999999989,1318.8577851779542
1510.466999999989,1317.77783914427
1510.467999999989,1316.6995948664326
1510.468999999989,1315.623521147546
1510.4699999999889,1314.5500867907135
1510.4709999999889,1313.4797605990398
1510.4719999999888,1312.413011375629
1510.4729999999888,1311.3503079235852
1510.4739999999888,1310.2921190460124
1510.4749999999888,1309.2389135460144
1510.4759999999887,1308.1911602266957
1510.4769999999887,1307.1493278911603
1510.4779999999887,1306.1138853425123
1510.4789999999887,1305.0853013838557
1510.4799999999886,1304.0640448182944
1510.4809999999886,1303.0505844489328
1510.4819999999886,1302.045389078875
1510.4829999999886,1301.048927511225
1510.4839999999886,1300.0616685490866
1510.4849999999885,1299.0840809955641
1510.4859999999885,1298.1166336537617
1510.4869999999885,1297.1597953267835
1510.4879999999885,1296.2140348177334
1510.4889999999884,1295.2798209297157
1510.4899999999884,1294.3576224658343
1510.4909999999884,1293.4479082291932
1510.4919999999884,1292.5511470228969
1510.4929999999883,1291.667807650049
1510.4939999999883,1290.798358913754
1510.4949999999883,1289.9432696171154
1510.4959999999883,1289.103008563238
1510.4969999999882,1288.2780445552257
1510.4979999999882,1287.4688463961822
1510.4989999999882,1286.6757977862703
1510.4999999999882,1285.8988905440283
1510.5009999999882,1285.1380037621425
1510.5019999999881,1284.393016523175
1510.502999999988,1283.6638079096892
1510.503999999988,1282.9502570042473
1510.504999999988,1282.2522428894122
1510.505999999988,1281.5696446477468
1510.506999999988,1280.902341361814
1510.507999999988,1280.250212114176
1510.508999999988,1279.613135987396
1510.509999999988,1278.9909920640364
1510.510999999988,1278.3836594266602
1510.511999999988,1277.7910171578296
1510.5129999999879,1277.212944340108
1510.5139999999878,1276.6493200560578
1510.5149999999878,1276.100023388242
1510.5159999999878,1275.564933419223
1510.5169999999878,1275.0439292315637
1510.5179999999878,1274.5368899078267
1510.5189999999877,1274.0436945305748
1510.5199999999877,1273.564222182371
1510.5209999999877,1273.0983519457777
1510.5219999999877,1272.6459629033577
1510.5229999999876,1272.206934137674
1510.5239999999876,1271.7811447312886
1510.5249999999876,1271.3684737667652
1510.5259999999876,1270.9688003266658
1510.5269999999875,1270.5820034935534
1510.5279999999875,1270.207962349991
1510.5289999999875,1269.8465559785407
1510.5299999999875,1269.4976634617658
1510.5309999999874,1269.1611638822287
1510.5319999999874,1268.8369363224924
1510.5329999999874,1268.5248598651194
1510.5339999999874,1268.2248135926727
1510.5349999999873,1267.936676587715
1510.5359999999873,1267.6603279328087
1510.5369999999873,1267.3956467105165
1510.5379999999873,1267.1425120034016
1510.5389999999873,1266.9008028940266
1510.5399999999872,1266.6703984649541
1510.5409999999872,1266.4511777987468
1510.5419999999872,1266.2430199779676
1510.5429999999872,1266.045804085179
1510.5439999999871,1265.8594092029439
1510.544999999987,1265.6837144138249
1510.545999999987,1265.5185988003848
1510.546999999987,1265.3639414451866
1510.547999999987,1265.2196214307928
1510.548999999987,1265.0855178397662
1510.549999999987,1264.9615097546691
1510.550999999987,1264.847476258065
1510.551999999987,1264.7432964325162
1510.552999999987,1264.648849360585
1510.553999999987,1264.5640141248352
1510.5549999999869,1264.4886698078285
1510.5559999999869,1264.4226954921285
1510.5569999999868,1264.365970260297
1510.5579999999868,1264.3183731948975
1510.5589999999868,1264.2797833784928
1510.5599999999868,1264.2500798936449
1510.5609999999867,1264.2291418229167
1510.5619999999867,1264.2168482488714
1510.5629999999867,1264.2130782540717
1510.5639999999867,1264.21771092108
1510.5649999999866,1264.230625332459
1510.5659999999866,1264.251700570772
1510.5669999999866,1264.2808157185812
1510.5679999999866,1264.3178498584493
1510.5689999999865,1264.3626820729394
1510.5699999999865,1264.4151914446136
1510.5709999999865,1264.4752570560356
1510.5719999999865,1264.5427579897673
1510.5729999999865,1264.617573328372
1510.5739999999864,1264.699582154412
1510.5749999999864,1264.7886635504503
1510.5759999999864,1264.8846965990494
1510.5769999999864,1264.9875603827722
1510.5779999999863,1265.0971339841813
1510.5789999999863,1265.2132964858397
1510.5799999999863,1265.33592697031
1510.5809999999863,1265.4649045201547
1510.5819999999862,1265.600108217937
1510.5829999999862,1265.7414171462194
1510.5839999999862,1265.8887103875645
1510.5849999999862,1266.0418670245351
1510.5859999999861,1266.2007661396938
1510.5869999999861,1266.3652868156037
1510.587999999986,1266.5353081348273
1510.588999999986,1266.7107091799273
1510.589999999986,1266.8913690334668
1510.590999999986,1267.077166778008
1510.591999999986,1267.2679814961139
1510.592999999986,1267.463692270347
1510.593999999986,1267.6641781832705
1510.594999999986,1267.8693183174466
1510.595999999986,1268.078991755439
1510.5969999999859,1268.293077579809
1510.5979999999859,1268.5114548731203
1510.5989999999858,1268.7340027179355
1510.5999999999858,1268.9606001968175
1510.6009999999858,1269.1911263923284
1510.6019999999858,1269.425460387031
1510.6029999999857,1269.6634812634886
1510.6039999999857,1269.905068104264
1510.6049999999857,1270.1500999919194
1510.6059999999857,1270.3984560090178
1510.6069999999856,1270.6500152381218
1510.6079999999856,1270.9046567617943
1510.6089999999856,1271.1622596625975
1510.6099999999856,1271.4227030230948
1510.6109999999856,1271.685865925849
1510.6119999999855,1271.9516274534224
1510.6129999999855,1272.219866688378
1510.6139999999855,1272.490462713278
1510.6149999999855,1272.7632946106858
1510.6159999999854,1273.038241463164
1510.6169999999854,1273.315182353275
1510.6179999999854,1273.5939963635817
1510.6189999999854,1273.874562576647
1510.6199999999853,1274.1567600750334
1510.6209999999853,1274.440467941304
1510.6219999999853,1274.7255652580209
1510.6229999999853,1275.0119311077476
1510.6239999999852,1275.2994445730462
1510.6249999999852,1275.5879847364797
1510.6259999999852,1275.8774306806108
1510.6269999999852,1276.1676614880023
1510.6279999999851,1276.4585562412167
1510.6289999999851,1276.7499940228172
1510.629999999985,1277.041853915366
1510.630999999985,1277.3340150014262
1510.631999999985,1277.6263563635605
1510.632999999985,1277.9187570843312
1510.633999999985,1278.2110962463014
1510.634999999985,1278.503252932034
1510.635999999985,1278.7951062240918
1510.636999999985,1279.0865352050369
1510.637999999985,1279.3774189574326
1510.638999999985,1279.6676365638414
1510.6399999999849,1279.957067106826
1510.6409999999848,1280.2455896689494
1510.6419999999848,1280.5330833327737
1510.6429999999848,1280.8194271808622
1510.6439999999848,1281.1045002957778
1510.6449999999847,1281.3881817600827
1510.6459999999847,1281.6703506563401
1510.6469999999847,1281.9508860671124
1510.6479999999847,1282.2296670749627
1510.6489999999847,1282.506572762453
1510.6499999999846,1282.7814822121468
1510.6509999999846,1283.0542745066064
1510.6519999999846,1283.3248287283946
1510.6529999999846,1283.5930239600743
1510.6539999999845,1283.8587392842082
1510.6549999999845,1284.1218537833593
1510.6559999999845,1284.3822465400897
1510.6569999999845,1284.6397966369623
1510.6579999999844,1284.8943831565398
1510.6589999999844,1285.1458851813857
1510.6599999999844,1285.3941817940618
1510.6609999999844,1285.6391520771313
1510.6619999999843,1285.8806751131565
1510.6629999999843,1286.1186299847006
1510.6639999999843,1286.3528957743265
1510.6649999999843,1286.5833728030207
1510.6659999999843,1286.8100639088648
1510.6669999999842,1287.0330028216238
1510.6679999999842,1287.2522232773567
1510.6689999999842,1287.4677590121216
1510.6699999999842,1287.6796437619769
1510.6709999999841,1287.8879112629809
1510.671999999984,1288.0925952511923
1510.672999999984,1288.2937294626693
1510.673999999984,1288.4913476334707
1510.674999999984,1288.6854834996545
1510.675999999984,1288.8761707972794
1510.676999999984,1289.0634432624036
1510.677999999984,1289.2473346310858
1510.678999999984,1289.4278786393843
1510.679999999984,1289.6051090233575
1510.680999999984,1289.779059519064
1510.6819999999839,1289.949763862562
1510.6829999999838,1290.11725578991
1510.6839999999838,1290.2815690371663
1510.6849999999838,1290.4427373403896
1510.6859999999838,1290.6007944356381
1510.6869999999838,1290.7557740589705
1510.6879999999837,1290.907709946445
1510.6889999999837,1291.05663583412
1510.6899999999837,1291.202585458054
1510.6909999999837,1291.3455925543055
1510.6919999999836,1291.485690858933
1510.6929999999836,1291.6229141079946
1510.6939999999836,1291.7572960375492
1510.6949999999836,1291.8888703836546
1510.6959999999835,1292.0176708823699
1510.6969999999835,1292.143731269753
1510.6979999999835,1292.2670852818628
1510.6989999999835,1292.3877666547571
1510.6999999999834,1292.505809124495
1510.7009999999834,1292.6212464271346
1510.7019999999834,1292.7341122987343
1510.7029999999834,1292.8444404753525
1510.7039999999834,1292.952264693048
1510.7049999999833,1293.0576186878786
1510.7059999999833,1293.1605361959032
1510.7069999999833,1293.26105095318
1510.7079999999833,1293.3591966957677
1510.7089999999832,1293.4550071597246
1510.7099999999832,1293.5485160811088
1510.7109999999832,1293.6397571959792
1510.7119999999832,1293.7287642403942
1510.7129999999831,1293.815570950412
1510.7139999999831,1293.9002110620909
1510.714999999983,1293.9827183114896
1510.715999999983,1294.0631264346666
1510.716999999983,1294.14146916768
1510.717999999983,1294.2177802465885
1510.718999999983,1294.2920934074507
1510.719999999983,1294.3644423863243
1510.720999999983,1294.4348609192687
1510.721999999983,1294.5033827423413
1510.722999999983,1294.5700415916015
1510.7239999999829,1294.6348712031072
1510.7249999999829,1294.6979053129169
